from,to,distance
9197,13864,30.7
47,10989,9.3
4755,6521,57.3
11085,12305,82.5
3197,14040,9.1
3793,16725,39.5
10680,6717,57.9
10324,5532,53.0
16401,6199,49.7
353,17599,98.4
15735,12568,42.6
15696,16981,24.4
5627,19665,50.4
15158,19734,64.1
10663,17402,66.8
17205,9503,25.4
18780,12922,86.6
12254,11136,21.6
13636,10851,8.9
11474,10947,79.3
15818,9263,24.6
9659,14773,75.4
3132,7051,48.2
18509,264,73.4
8342,7741,78.8
2612,17233,30.0
14747,17128,85.8
5185,15488,51.3
12185,6783,60.9
11270,4276,8.1
4169,16618,42.9
3396,19337,63.9
11376,14863,5.7
17291,8065,20.6
8172,18754,74.4
16670,10255,84.0
10830,3723,42.5
14682,493,30.9
9944,12619,20.5
1006,7231,60.5
11446,10778,85.6
15350,4792,26.3
12898,17129,74.0
1089,308,31.0
8506,4048,95.9
2086,12372,88.2
14172,2806,51.6
18437,4129,61.3
6530,7000,5.8
4670,5716,95.7
6487,14853,25.9
4305,19303,32.9
14272,10735,76.5
15801,10062,72.9
4863,1808,93.7
2905,15600,77.6
6934,18468,29.6
10712,6670,51.1
11582,9917,72.0
16399,1425,72.6
1260,16468,67.5
4614,3385,72.1
7359,7210,16.2
994,10163,43.1
10021,13934,58.6
10424,8537,12.3
9744,18306,49.8
17841,14691,99.8
3501,18548,57.5
16928,24,54.8
6349,3024,94.8
746,18123,44.2
16839,904,99.0
4791,1756,48.2
11201,10751,46.3
453,6254,87.2
7951,7633,41.5
7677,8947,54.0
7792,6861,22.7
19860,13897,11.4
8994,1506,11.8
17812,5383,69.7
1224,16271,91.1
455,19700,88.9
13833,17828,90.2
2147,1521,92.6
18372,19849,72.8
8789,10118,44.2
7464,2737,34.7
10500,4770,7.3
13548,6082,99.0
1149,8095,79.5
1078,17573,96.3
17574,4259,48.5
17675,1141,91.1
13531,12204,19.1
14869,18315,24.1
13886,5525,20.7
1126,17819,74.6
19451,17806,67.7
7430,18013,18.0
3907,5447,54.2
9955,6944,76.7
2941,13275,65.6
8054,4617,83.8
2692,3638,42.9
450,12010,20.1
14591,8815,82.6
18934,3330,42.9
17370,7667,7.0
7356,11306,92.6
19442,12807,96.1
2931,4517,22.6
903,19497,85.3
12469,4143,74.4
14442,3506,76.5
10872,7308,31.3
15815,10350,48.6
12219,5922,77.1
4264,9477,56.2
15245,13487,39.0
4450,9836,70.9
13102,15675,10.0
17579,1689,43.3
3543,6087,45.4
11905,17307,88.8
1509,9557,79.3
11557,4230,56.7
13505,7712,24.1
1033,15200,95.6
16992,15873,10.7
10601,19092,90.2
18774,12489,99.7
7367,3294,56.6
5426,1026,60.6
3821,16229,47.2
18319,17092,52.3
11301,10920,87.4
580,15466,66.9
2619,1649,34.5
11934,13415,15.0
12493,6280,20.3
17082,4129,73.5
1632,11258,55.8
5200,8019,68.4
10130,10643,71.5
18125,12227,75.6
624,1854,64.1
11749,1491,99.6
11868,13866,38.7
1786,18033,6.8
9677,1289,83.1
1894,15236,14.6
13075,10107,44.8
581,6266,99.0
18798,8278,69.0
13579,19341,11.1
17976,13259,58.5
17455,13239,74.7
1995,9959,88.4
10900,4081,83.1
4424,19998,65.9
5980,15818,7.6
5219,10385,34.2
3205,16935,59.0
261,2932,17.4
1959,19264,76.5
7211,6165,24.7
1228,11871,75.1
16533,10430,68.8
12556,19021,98.1
3114,8788,99.2
12131,2095,64.6
6126,7090,79.7
19427,15492,83.9
1195,13916,23.1
19878,6441,83.6
1278,13945,73.0
5878,15664,88.7
5374,6753,45.0
18586,9337,96.9
6271,7232,9.5
18823,18766,58.5
13869,2875,58.1
8914,14713,10.6
8374,19305,77.4
19332,18264,26.9
14758,2262,5.8
8838,7688,50.6
16973,3418,25.5
6066,10391,33.1
17111,2265,11.4
16573,3270,78.3
4230,1226,87.9
11177,5798,83.6
9924,6956,90.9
761,18633,93.5
11832,11751,24.3
18525,4164,28.7
10612,12366,9.1
16252,15965,31.9
87,3929,99.9
7008,2659,64.2
8152,19910,89.4
16023,4783,42.6
14729,12022,92.1
7725,1358,67.6
7310,2068,44.8
4134,561,12.0
12277,12953,16.5
14807,1132,19.8
7796,12343,6.5
15529,10568,53.7
10804,13181,6.0
11115,19644,37.0
10330,18111,55.9
16345,15589,40.3
7122,8649,70.1
1528,9946,58.0
3951,12586,98.8
12303,7828,43.2
1196,10598,86.7
3542,13704,59.9
679,18016,67.8
1195,6400,18.8
7881,19060,28.3
1328,10184,5.7
9363,2941,95.0
16315,9874,69.1
8809,15327,84.6
521,11038,50.8
10372,7802,51.2
18568,18512,76.4
8892,11268,41.8
10840,9885,75.4
6816,397,21.5
14537,17720,30.3
1392,1234,68.4
5235,953,55.6
18642,19278,30.3
7096,6780,17.6
2824,11366,70.4
2613,6031,29.4
2241,3542,44.0
14615,17189,46.1
19973,17235,83.8
10072,9325,55.2
8658,18287,62.8
9234,19724,23.2
11851,3936,25.1
8961,18051,28.8
2732,10492,70.8
18406,3082,99.5
18340,18415,40.5
1053,13808,33.4
15387,7525,47.4
16978,12811,90.1
10376,1908,15.4
1894,5522,69.4
17950,14581,63.3
12732,4363,32.4
14806,19755,17.2
12201,2179,30.5
17140,12130,38.9
16499,18903,87.3
7453,570,24.3
10408,2827,61.1
7871,14623,56.3
4351,13723,30.1
17958,3702,23.3
10847,10236,57.1
8010,10895,82.9
19453,8080,66.9
7478,8265,27.0
11382,10996,85.0
713,8861,19.6
1385,3026,35.5
13391,1257,50.6
17508,16581,41.1
4374,3435,55.9
11878,7002,54.5
1711,12451,98.6
4688,6767,30.3
4676,7464,51.1
16551,10396,82.1
15013,9196,66.3
13449,9661,33.1
36,15,21.3
4637,17250,42.9
187,19953,50.3
12197,4761,82.1
4493,7683,79.0
8965,5644,11.5
1267,16894,75.8
1981,15011,77.0
13596,9331,34.6
17847,19158,79.2
14789,614,58.9
5881,19273,9.1
7986,15295,70.6
17991,16580,39.0
19659,1811,98.1
3556,3189,77.4
2876,3703,92.3
3771,9223,29.5
6439,5692,36.6
9572,1405,62.6
6491,85,88.5
16425,10182,39.8
18835,5296,70.8
9194,19260,8.7
18980,1994,16.6
16178,13285,13.9
6833,9200,48.1
18053,17011,21.3
7941,5145,98.2
17349,8560,88.1
11994,11316,95.1
5429,16071,55.4
4598,15027,97.1
16583,937,71.8
16392,685,91.9
2913,1623,30.0
6595,8775,90.2
17055,9023,15.1
12040,15394,6.7
7320,9659,15.5
16026,19763,52.4
12799,12727,81.1
5973,45,25.7
3059,9426,98.2
12379,14453,66.0
6900,5832,33.4
7573,12116,65.4
7068,8049,23.8
18407,8563,67.4
5280,12015,98.1
9367,1034,31.7
3525,6642,31.1
10084,14037,82.3
371,7509,93.8
7392,18211,84.1
5373,9785,92.9
1418,575,89.8
17403,6942,6.2
8121,666,40.5
2021,927,99.7
1465,11015,93.2
2010,18499,50.0
19321,17393,66.3
11953,12537,9.1
11962,19812,85.4
17025,14125,58.3
4920,6141,43.6
7840,12444,15.3
9953,9923,86.7
8587,4610,12.2
5815,13130,71.7
7534,18241,87.8
7641,6862,62.9
9248,10092,87.9
4436,468,50.9
9538,8430,9.8
11096,1151,37.3
3852,19093,51.8
9410,7595,22.5
8300,1066,58.3
8394,13204,28.0
14053,4702,77.8
7083,3588,30.2
1993,6776,40.0
17297,18859,15.3
2686,4668,27.3
11110,7118,77.4
12617,1891,57.0
4621,12366,39.5
690,13812,92.7
13239,14607,96.9
13618,1397,92.1
11772,14776,92.1
5145,4663,41.9
1777,2391,35.1
4634,1395,35.8
5231,2178,74.8
14387,6512,21.8
11381,7911,57.3
7229,19713,36.5
10019,2072,24.7
19630,18717,46.3
507,5154,92.4
9692,5492,6.9
4560,1929,21.6
3733,595,63.6
5563,2394,71.7
9615,10612,76.9
16746,8378,52.2
5464,5096,74.7
18029,2664,49.0
12062,19274,80.2
8975,10896,23.4
19470,1734,41.0
10599,7,29.8
9012,3742,25.7
17956,1361,70.7
8022,1126,80.3
874,18692,73.4
5556,15745,91.6
18499,18048,97.0
16581,266,67.7
12560,19489,17.4
6640,13094,13.0
11161,16219,7.6
19049,17325,36.9
19790,16376,35.0
8159,3836,44.0
12055,6124,58.9
15817,16495,24.6
12422,13591,48.3
17839,18100,74.0
9584,16258,29.5
18796,1941,77.9
2364,10822,95.6
10195,19175,5.4
2796,18764,96.8
11897,6042,36.4
3916,1320,24.7
4588,2542,52.1
17406,19743,45.5
687,6573,49.1
3837,8241,69.8
18241,15784,82.2
13521,14478,65.0
13847,4246,78.3
5407,5317,52.6
7099,4257,70.0
9114,17259,57.4
4649,11696,32.6
15212,10571,94.2
13189,17924,94.2
5817,11027,23.0
14097,5668,61.3
19282,13802,42.5
12291,13502,33.5
5933,3825,48.7
13491,7616,24.3
2943,17572,64.6
10721,3151,60.0
12688,15934,47.3
19921,13974,78.0
18515,1925,68.1
14475,18756,21.2
5588,14578,14.3
13216,18397,35.5
11181,1461,15.7
9219,15894,92.7
1331,1318,23.9
7023,11337,71.9
13401,10951,43.2
1574,16067,21.1
17674,19177,71.4
6241,11657,44.0
6008,3617,56.1
8761,6446,49.0
17675,139,73.0
19922,3905,65.8
6976,12072,68.2
11800,14833,99.0
16552,7320,97.1
10579,17624,25.5
17471,8464,97.5
2233,2724,14.1
14144,9601,99.4
5751,18577,15.2
12808,1205,60.6
17722,11466,55.1
17177,12537,18.5
12165,13400,51.8
1681,17276,89.3
3072,1797,41.3
3031,19229,11.4
3540,11255,83.7
11893,15459,35.1
19150,16258,34.8
14783,3198,76.7
16472,8456,97.8
17550,8420,84.0
16517,15345,20.3
4646,19735,76.5
12298,13950,25.4
464,9596,72.1
18891,2597,80.5
6694,9344,40.4
2007,8689,5.4
18887,14834,27.9
15100,19553,26.0
5705,679,73.1
5118,3523,27.4
12239,13448,60.5
8606,14446,82.5
2506,5381,88.3
10377,8970,95.4
14462,12293,71.1
677,4117,65.0
11059,8533,37.5
18522,8698,55.3
10541,12436,95.7
13074,18673,28.5
2498,15104,6.9
16599,13092,77.3
17227,8584,10.0
19900,18735,87.8
19864,10210,97.2
4388,10453,55.2
12386,4084,61.1
15101,11875,10.3
3712,1691,88.2
7535,19959,16.8
9984,13079,57.5
5934,14157,13.3
3977,6961,84.3
17900,14569,58.2
230,8882,41.0
3776,15563,28.4
14571,1868,95.1
4146,16164,39.7
9567,2804,84.9
16689,5515,94.7
1823,10639,44.6
4988,14206,40.2
8398,11383,56.0
12668,3711,79.1
2574,18175,8.8
8783,13662,63.5
13877,16843,93.8
15894,16430,90.9
4940,12731,21.6
11231,14371,58.8
14660,13791,19.3
19873,7775,94.7
13640,9591,5.4
5938,3375,45.1
18335,18738,38.3
9862,14454,74.9
16295,15444,88.3
3221,4107,79.7
8949,10876,75.7
9364,9315,15.0
19178,2263,87.2
18032,6714,46.6
7727,4399,13.0
7734,8529,8.1
186,17794,28.5
1094,11126,93.2
3714,7684,51.3
2294,11050,78.2
13872,14399,34.9
5652,8642,72.8
13082,8758,73.7
10901,2353,38.5
9949,8164,35.8
11230,13716,70.2
9373,927,37.3
9384,5179,23.3
13454,18074,60.2
19640,8991,9.3
350,1801,26.0
10957,740,15.0
4013,2926,95.8
7486,8757,22.8
5187,9512,25.0
9069,16779,66.7
7964,11918,51.1
775,19251,20.9
7090,11870,14.9
11165,5331,98.0
18883,16520,29.9
18941,15489,26.6
18167,17596,17.8
16293,6414,24.5
10612,11800,20.1
11338,11433,49.4
8304,4853,14.6
10197,15923,83.4
2197,5826,60.6
2782,12020,15.0
16465,8891,42.4
7250,3728,8.0
17961,2473,80.9
18162,427,25.3
15808,1461,91.7
10991,3252,82.0
7762,18577,12.1
18199,14587,11.7
4827,4122,59.8
3204,4573,70.2
3813,18620,72.4
17632,19068,19.5
19591,11545,58.6
18762,8186,78.6
17434,8502,56.3
18776,12390,91.4
436,10593,61.8
8870,7165,83.5
2534,17865,87.1
12919,3117,29.7
1932,8469,47.3
19830,5635,68.8
15293,7527,57.0
16349,6565,22.8
9728,8290,44.7
2020,4521,48.2
9503,9801,76.3
6338,5311,31.1
18680,13833,62.7
8517,1589,17.1
15450,19749,56.5
6267,13220,76.9
14365,5490,12.5
19149,17781,14.2
19819,3168,37.4
16818,10568,91.1
6540,2707,70.2
18922,3460,64.6
18521,16425,89.4
19401,12226,34.2
6536,16537,97.1
16741,4059,60.6
8122,4200,18.6
3912,15884,81.2
17963,6430,63.5
11597,12892,29.0
13257,10048,18.1
5303,13853,6.5
12834,3286,44.4
12490,16385,74.2
5759,8464,43.5
18068,15251,36.7
11917,14986,10.0
10103,16711,39.4
16373,9211,31.9
18622,8031,88.3
15657,12192,9.5
3602,3931,29.8
19078,5354,73.5
19751,9521,71.4
9858,12916,51.6
2765,2602,74.0
6438,3168,28.4
3078,12582,61.6
13995,16600,60.1
12499,1472,92.3
1889,7970,15.0
7182,16004,31.5
8453,10032,52.4
2088,4172,24.4
4944,13489,23.6
9272,2381,62.8
2896,2055,18.0
2953,5495,51.6
8681,5046,29.8
1471,3508,23.1
1929,4527,55.4
1294,15215,87.9
18217,9333,6.1
16261,17844,19.3
11680,10176,77.4
200,19977,85.5
12376,16399,21.3
11497,5462,73.0
4449,5051,5.2
7482,15316,98.7
19352,13468,42.6
8978,13931,36.0
4482,3820,67.2
8223,6326,14.4
9443,14287,61.3
722,1706,80.6
7325,16598,65.9
14251,1368,5.2
14017,8584,48.1
6847,9928,38.7
2529,1745,6.9
16528,8030,52.6
12073,11582,7.6
19009,6922,43.6
13746,16090,66.0
13912,2295,21.4
13788,16304,47.2
11529,16145,46.4
10386,19737,9.3
17331,17053,44.7
14808,15519,79.8
16147,1659,79.5
11939,12687,73.9
1251,19328,36.6
11564,16949,59.6
4216,6416,39.9
19446,9803,98.5
884,10113,35.6
7994,5003,60.9
14661,2611,25.5
18422,8665,52.2
8529,10415,89.4
19102,155,46.1
788,6411,6.1
8583,17675,66.0
3590,19771,37.3
4835,16167,12.4
13943,2404,80.1
9928,2136,86.5
13724,3261,53.0
16071,126,46.3
12517,7492,85.9
14818,1621,88.1
14712,5432,82.0
7355,848,62.1
4527,5774,11.5
704,16932,43.3
932,14009,16.4
380,19265,55.4
19100,7550,11.3
10663,19340,63.9
9768,6017,12.5
6733,10473,48.7
17760,12731,45.3
784,13279,69.8
17306,301,86.2
5993,4523,32.1
12182,18239,91.7
6807,3132,17.6
3823,5207,80.3
5872,3628,42.5
9718,7373,83.5
17358,539,30.8
11079,11947,95.2
5070,13250,60.4
9079,1460,25.6
8148,403,66.7
6777,1708,84.2
2875,16724,99.1
4503,14763,91.2
11021,9460,60.3
17857,1980,23.7
1658,19842,33.4
18897,1799,38.6
13308,2341,43.9
6912,13469,45.8
18125,14994,46.7
12926,10767,40.1
6013,17036,24.5
7087,1121,13.2
14937,19460,79.2
5503,11149,67.4
670,16291,44.6
11362,17560,91.9
10836,12574,47.6
12639,16988,11.8
12735,5149,18.3
5813,16618,14.4
5923,8391,99.5
14154,471,20.1
3864,3693,29.8
830,748,11.5
15484,11359,78.2
15507,8346,6.1
14942,11954,25.7
1678,15787,49.2
14365,17897,30.8
3242,4868,66.1
19569,15127,71.8
4279,10583,21.3
7345,960,31.9
12954,1765,94.9
15697,5021,60.6
8953,18435,74.5
15463,15535,66.2
9898,8579,38.8
6457,7709,40.4
8436,4587,13.6
2427,6651,27.7
5965,19795,5.0
3321,1866,87.7
12711,887,58.7
6681,17016,53.6
14031,10854,6.7
12475,5376,14.0
1608,17010,81.1
6565,12732,98.5
10048,15953,97.5
16676,14584,71.1
2410,18047,17.8
8714,14926,61.7
5758,1404,21.1
5127,18159,37.8
6471,15634,16.6
8095,15360,99.5
8732,19066,98.4
3742,18059,85.5
18898,10123,17.7
651,12911,15.8
12950,5900,32.6
10139,13582,25.4
4805,419,92.5
19980,17562,81.0
7491,9021,74.9
18128,12845,54.6
18133,120,35.2
9499,12818,40.2
14729,10601,78.2
16848,683,86.8
4313,18810,20.3
593,16178,83.3
1949,7701,14.4
12042,10789,84.0
4509,5834,36.8
15387,14868,15.2
14664,1043,90.3
10568,13128,88.1
10787,5544,72.5
15622,18495,55.1
3924,2792,90.0
16673,6448,6.0
19007,3155,84.3
14773,9567,14.9
15457,1768,74.3
1659,16741,86.1
17043,19681,72.6
19216,13702,85.9
16327,19546,31.4
1155,11480,65.7
15374,17460,49.1
9125,1074,51.1
3096,3646,58.8
15978,12257,75.1
12175,14976,24.6
17622,6892,69.3
12632,15549,38.6
14564,7778,50.0
14300,15192,8.2
2020,16206,14.4
16652,11022,54.2
17097,2896,47.1
530,3587,83.0
5534,2073,93.6
14201,9771,74.6
1862,8473,24.6
6310,4698,21.0
9989,10199,71.5
7609,12058,95.0
19545,18992,51.7
2334,7995,36.2
5357,1420,60.6
8799,2943,59.1
1485,17073,40.6
14277,7448,17.8
2255,5688,62.8
2457,14265,38.8
11128,15112,5.4
12104,3814,52.7
8861,14158,68.9
11766,3742,35.3
14960,7673,17.2
8331,4282,11.7
15536,15574,72.0
9717,5687,79.6
10449,16152,59.5
9506,15700,33.2
8871,12874,24.2
6949,571,33.2
6854,19763,6.9
13968,8936,68.9
6878,11656,65.1
16665,5701,77.7
2807,12367,56.2
16519,10994,9.8
16636,4070,44.1
10321,8417,64.3
2311,8525,18.5
18404,3352,14.8
3199,12162,89.7
3187,14420,91.8
18437,4102,23.1
9088,1632,75.8
521,60,57.5
147,11014,87.5
8395,16641,22.7
14777,13289,40.3
14144,3357,40.5
11061,3848,88.7
11997,10700,90.1
18583,17090,62.0
18898,6343,44.7
9331,12320,55.9
13879,11631,59.8
3937,15103,75.7
7080,13356,47.9
1252,11814,19.8
7076,4350,77.9
11759,15916,64.6
13758,817,23.7
12512,5072,69.0
1129,6666,43.3
14633,18750,28.9
11900,16318,49.7
10487,13450,55.7
19617,18558,87.3
16261,9022,84.6
7583,937,33.1
7963,7017,40.7
1777,18503,87.5
6490,470,22.7
9856,5941,98.0
2925,6643,81.8
16147,19284,5.9
7064,16335,10.7
12737,9063,48.2
1259,14182,52.4
7098,15599,38.0
1308,2253,38.0
12979,10739,58.3
13988,4059,48.8
11282,3939,63.2
18722,12560,11.7
10229,1768,56.6
15,5078,63.1
4305,17846,60.5
8250,6829,35.5
17060,4736,70.1
13652,10543,51.5
10676,1708,5.6
8896,1108,68.3
9474,18158,23.4
13879,16464,19.2
13971,62,41.5
12193,2134,95.5
15150,15674,64.8
16003,1897,98.9
12598,6367,39.1
6783,11050,66.9
13708,6663,20.5
14079,2031,45.1
10018,10707,53.6
1600,15506,62.7
447,3533,24.2
934,18812,80.1
13476,6469,73.9
5650,2709,56.4
803,11853,21.9
4593,19807,72.9
19830,16598,68.1
15740,15580,44.9
18555,1414,25.7
15130,19013,63.1
6740,11745,56.5
12831,19050,49.6
9820,19834,63.9
16147,5211,19.1
8543,13306,34.2
17111,5875,22.5
8838,1435,41.5
13994,18764,54.7
18649,13863,67.9
17695,3841,89.1
10111,7446,23.0
15558,17458,24.4
10103,19741,89.2
14261,17145,65.1
17759,12333,24.2
17915,7463,92.3
15767,8850,92.7
18812,17641,60.8
16878,10990,73.8
14353,15051,27.9
5449,14466,46.3
12890,19389,90.6
8946,19792,19.7
18327,18985,42.4
18014,9723,69.2
19738,8245,67.9
2117,8288,40.1
16087,4016,92.8
12281,4470,83.8
10695,11504,94.7
16633,15,9.6
10766,4699,66.8
7423,5706,91.3
11235,11867,50.2
3644,18928,88.2
16293,14872,89.7
4866,10916,97.3
18804,15539,6.0
8141,1520,15.7
8865,11805,44.8
11450,9476,34.9
18953,4069,31.5
4694,14557,53.9
18661,15602,95.9
16509,185,44.7
11677,2527,80.0
2088,11952,61.9
11593,13150,85.5
1511,14508,93.7
7895,15438,71.9
6757,16638,64.2
1981,11639,55.9
19364,15400,23.4
18277,18267,8.7
11836,1035,38.8
16953,11534,22.8
3648,2653,73.3
12783,5504,40.5
3783,11713,99.1
12880,1624,83.0
4734,9349,79.2
4544,14246,5.8
6544,18438,34.1
1685,3713,60.5
9044,1092,61.2
3849,420,44.3
16540,12613,54.4
4329,11671,45.0
10255,16513,45.2
12878,15525,94.3
1686,8235,55.4
9531,12055,65.5
6142,61,78.9
964,4841,45.6
19094,13654,50.4
16530,14301,85.0
8160,15798,64.0
11341,18795,69.4
14884,2910,21.6
9545,4266,75.6
9453,8066,96.6
9739,10819,34.3
12637,8530,59.1
12316,6406,30.4
10850,5985,71.4
12498,13921,100.0
12907,10497,6.4
4772,7245,9.9
7252,19365,36.0
5512,11718,58.7
6727,15774,32.3
9166,2219,43.8
13962,17129,16.8
17405,2847,86.5
6200,6982,67.3
10555,11564,86.0
170,452,11.3
5733,14222,83.6
7041,15713,28.1
18117,18272,90.2
17178,3851,92.9
657,4722,74.1
12967,8394,38.5
17449,14311,25.6
2991,11134,6.4
1641,1853,23.7
16543,9342,16.6
8114,7541,84.5
14850,16438,38.7
185,9480,89.7
5747,14505,59.9
6221,18463,85.3
9940,11724,67.9
5842,5390,43.3
12823,18191,84.4
10504,19407,54.9
4495,14411,5.5
10567,13410,44.2
18538,14556,49.8
4094,1819,32.5
4800,4704,29.9
2643,13606,40.6
6164,705,27.2
3620,9816,20.0
15736,721,90.0
13817,17457,68.9
2257,19886,12.0
11672,4888,12.8
9841,18816,43.2
19533,7470,18.9
19840,8893,16.7
12090,4987,47.4
6997,13130,33.7
3331,16427,75.1
9866,7781,40.2
9812,16089,60.7
15091,1179,13.6
18699,12444,8.0
8131,16099,71.7
18192,13204,45.8
8133,1607,65.2
16855,10991,49.3
15037,3555,82.2
19586,11063,7.1
11978,13646,92.8
118,19406,16.6
14,234,78.8
13853,5869,55.0
5694,18487,90.9
5622,10046,76.0
19753,14373,37.4
14586,2096,48.2
14206,16661,85.7
17797,10095,38.4
18707,11087,86.9
13621,11701,87.5
16200,12278,24.8
295,5859,68.0
12754,11931,35.2
13793,8813,74.4
5437,20000,53.5
404,18060,10.5
10039,1794,16.3
11689,13859,44.2
3774,6910,50.8
11895,10341,57.0
11101,7585,58.6
6290,12720,80.5
12692,986,33.5
8316,14911,11.7
15552,5542,45.4
3514,11715,18.2
5852,13694,6.9
17866,19197,67.0
2821,5423,46.6
19497,17620,93.4
19736,17661,28.3
411,10301,53.8
9224,8051,69.5
8430,14106,97.6
17727,13654,51.4
15530,4489,40.4
157,5215,82.2
1880,5049,42.5
1021,12306,64.7
13974,12084,87.2
1937,16499,82.4
15351,1340,80.7
12176,8193,33.7
18683,6221,52.0
14117,13760,29.4
9394,17222,84.7
7155,11786,49.8
848,12233,20.1
16020,19374,48.1
12290,16574,36.8
5614,2171,44.6
3768,18083,61.7
11741,7987,5.5
10124,5047,21.1
4135,2654,12.6
13426,11608,71.8
8257,5298,30.3
17915,13158,77.3
8744,7104,22.9
9008,4088,7.8
5365,7677,89.0
13439,6882,45.3
563,4279,52.1
12809,11395,54.1
16885,11435,41.2
2594,3640,24.9
8805,17502,56.0
10165,9407,31.8
5381,19357,28.8
66,4630,52.9
2404,6084,81.4
5166,3243,60.4
6331,7704,6.7
19665,6247,70.9
10767,16078,85.6
19465,18673,72.8
19608,2104,29.8
8568,3460,73.0
6264,13152,19.5
10364,8027,75.7
14204,12415,8.3
9363,7875,46.3
344,18920,38.4
418,18954,51.9
8714,9336,70.9
10082,1946,13.0
3987,10946,32.4
12826,19390,88.4
11394,15592,49.3
18012,14825,5.8
11532,10619,80.4
17663,1939,63.9
11372,5908,46.6
3716,8589,60.7
14011,8597,70.8
17671,71,56.1
14228,1991,66.6
14561,4384,40.9
287,5855,19.6
11368,5147,97.4
2020,7510,54.4
14642,5956,6.0
4463,2413,34.0
13892,16802,85.3
1939,17772,7.9
16376,2623,84.0
7317,13529,63.1
14034,2832,56.2
5912,14515,93.0
8743,6310,33.3
457,19713,67.4
11327,5503,95.7
14408,6014,63.9
16270,9406,71.6
7418,11682,13.4
10181,8945,99.6
13639,4698,30.4
7826,6246,65.3
6108,6622,21.5
15222,10515,92.2
9756,6450,47.9
18038,10796,48.4
16671,7292,48.1
4819,1112,31.0
19562,5434,27.3
17605,2360,38.2
18766,7219,55.0
7237,1208,91.2
649,18769,72.6
6466,17467,60.7
16475,19439,44.7
13056,1407,87.2
6048,1923,19.6
1233,6464,20.4
10553,15446,33.7
18130,14176,34.9
15906,14361,82.7
19121,14964,77.7
19955,12501,26.7
7840,14230,35.8
16064,9240,83.3
7337,18856,23.6
13370,15070,91.6
5441,14945,28.6
6100,15084,14.7
274,841,55.7
13886,18426,45.0
4640,15492,92.6
3048,16363,18.3
2467,9394,35.8
18394,6306,42.8
8512,14360,51.8
13724,1728,45.3
12415,17260,25.7
5569,16305,98.1
2106,7539,53.1
8973,15439,99.6
12350,18014,14.2
11104,7351,95.4
14668,4837,49.8
5890,17159,53.2
19615,4746,96.6
10802,7035,72.3
18886,16089,15.4
14021,18844,50.2
7547,6652,29.3
311,19923,51.3
19602,15155,96.8
14900,6216,53.5
18502,9758,30.1
1945,14429,81.2
18496,19691,27.6
12452,16725,36.4
225,58,56.9
1974,15415,24.5
18723,5281,49.8
19042,17163,26.7
6671,7755,75.4
8125,1679,24.2
2588,17891,80.4
16672,17478,40.4
16494,11357,29.0
455,17850,73.7
18753,6963,69.8
10533,18536,76.1
18104,9217,53.7
2847,19255,37.0
2918,18349,49.3
2510,18575,55.6
17743,16556,81.4
14963,2999,9.4
11119,6333,10.2
7661,15838,32.2
16521,9060,53.9
16573,11935,61.2
15023,17442,78.3
2861,3342,97.6
18450,8313,94.2
4273,16643,82.2
12448,9501,99.6
10946,9829,46.2
10755,6307,80.2
10580,12758,75.8
12823,12821,35.4
7576,18045,80.7
16900,10461,28.9
1013,4200,15.2
8098,7807,30.9
