from,to,distance
298,159,67.1
29,470,73.6
458,267,30.9
155,53,57.0
227,341,39.7
312,494,21.8
306,300,45.8
383,182,99.7
443,21,5.2
19,128,63.4
410,404,11.3
137,1,64.8
471,414,62.4
18,70,20.0
275,179,39.9
83,495,77.7
478,264,99.1
421,487,9.6
309,475,56.8
154,121,12.7
384,257,37.8
175,31,9.3
300,317,51.1
298,247,40.5
218,238,90.7
47,46,27.1
416,291,55.2
468,94,95.3
402,59,80.4
9,271,30.8
256,253,13.9
383,213,64.4
358,373,86.4
455,373,14.1
149,351,65.7
327,115,98.8
48,170,77.6
125,15,60.6
216,206,30.2
82,407,41.2
385,211,14.8
341,272,85.3
447,36,72.4
34,453,18.1
319,453,39.1
458,422,21.8
284,21,95.0
228,2,13.1
351,134,99.6
38,352,95.7
302,160,53.4
207,22,40.2
462,154,12.1
297,142,29.8
250,128,80.9
368,454,75.1
335,397,72.0
267,493,38.0
305,260,46.0
87,161,6.6
356,403,71.7
72,203,79.9
500,226,29.8
307,310,72.5
439,372,7.4
254,215,88.5
240,235,48.4
332,289,34.0
216,87,19.6
