from,to,distance
3279,813,20.4
5024,7196,96.1
9461,2060,59.2
9577,7766,56.4
3555,248,47.6
4177,6272,40.9
3855,2907,63.1
1280,2318,60.0
8230,3535,63.4
7211,8514,27.5
9470,5725,36.0
7635,340,23.6
9341,6917,58.5
516,4131,25.9
1586,3737,28.1
2959,7545,55.0
9562,3250,32.2
8962,8602,12.7
4735,3145,85.8
4910,2822,27.1
3092,9057,92.2
817,3468,95.2
5019,3498,60.8
6414,5598,48.2
839,7952,54.2
5082,7544,8.0
3722,3433,8.1
336,5727,87.6
9397,6408,99.5
9455,4409,40.1
9432,6786,47.4
1933,4613,80.8
798,6432,20.7
5692,1443,92.8
8407,5938,13.7
9947,1248,67.6
5311,4342,31.5
4676,6931,64.7
1308,617,37.8
6831,2649,48.3
2538,5954,67.0
3706,4300,19.2
4767,1797,27.5
8968,9803,47.3
5878,1704,5.8
1676,7778,55.5
8767,5312,43.2
4682,6896,57.4
8771,4507,97.1
8989,2061,6.9
3628,6108,95.3
6191,8143,98.3
7311,3877,20.9
6182,2511,60.0
2192,2652,87.7
6849,9873,25.1
9222,5551,9.1
1748,5025,57.0
8193,6020,90.7
1058,8183,50.0
5029,8948,51.8
5970,6938,21.0
4632,9063,54.8
4567,3950,88.5
8989,292,70.6
368,2107,55.8
1621,9285,75.5
1196,5848,78.2
1745,4174,83.2
843,4684,52.0
5455,4692,80.4
4370,9102,30.2
345,6959,30.6
2583,5249,87.1
4575,1356,7.9
3917,4714,27.3
3383,9209,10.7
5812,9344,83.9
3678,4371,32.5
8855,2609,84.1
4198,4757,74.0
9606,4173,95.8
9187,8473,23.3
3717,5757,60.8
1968,8787,53.3
4346,573,33.5
4058,4134,57.0
3701,8809,74.1
1243,1161,63.5
8837,53,49.4
5578,924,6.3
8666,4621,91.0
9933,6612,66.0
1095,7794,23.2
8415,9755,36.8
1387,1708,10.4
6274,1575,74.1
2019,2623,62.8
4183,205,12.7
7168,8119,54.1
9161,1062,90.9
7868,1957,87.8
8573,7773,31.4
7410,6181,15.5
6604,8113,46.5
5454,9395,86.2
9465,2361,6.4
6023,5454,64.3
2417,638,87.3
2677,2922,97.7
6812,6750,12.7
8521,630,5.3
5313,3511,74.6
2331,6429,81.7
3520,7738,93.4
5588,1460,90.0
3537,3459,26.3
3526,2728,77.5
7518,1036,41.7
5884,5094,42.6
4354,2602,40.7
4705,6482,87.1
3166,2378,54.9
2411,6831,47.5
1259,9453,71.6
6006,9039,76.7
1015,2341,57.1
5909,8047,20.0
4000,5013,81.4
8381,7470,91.3
1057,7843,42.1
2313,8926,80.5
620,4308,12.9
900,6184,35.7
6120,2027,7.5
3228,1611,7.2
958,7087,10.3
7514,7695,84.6
9296,2469,81.2
5397,106,46.1
3679,7375,92.8
3363,7088,61.3
423,7397,28.6
9622,3934,90.7
1030,72,79.6
4537,6682,33.8
6117,4436,96.6
6414,7761,61.4
7073,973,67.4
1733,6773,65.3
1279,1700,73.0
2497,3517,57.0
665,3236,15.7
6168,4699,59.7
3813,3479,9.5
358,6386,35.2
513,424,86.5
4575,7721,14.5
6830,3706,96.0
30,4697,54.8
2672,9708,65.1
6729,4334,24.2
9151,2252,65.5
7605,90,58.4
3721,5393,23.4
8998,7855,40.7
8043,5988,87.9
8656,9547,30.5
5018,6830,41.9
4232,4702,84.3
6233,106,79.5
1725,9136,6.3
9561,9014,12.1
3705,6456,90.9
7426,2955,56.3
9708,5821,39.2
4719,1306,99.3
418,2269,63.5
3784,3322,93.3
3578,5394,78.5
7904,2467,9.0
2628,2506,37.1
6320,3156,6.9
1814,7906,52.8
909,3427,47.4
2927,9493,73.2
3931,491,90.5
5171,9289,42.6
5878,4689,51.7
5360,9025,45.6
8676,479,11.9
8448,4973,21.4
3155,1833,7.3
7907,5723,18.2
2147,1985,23.3
6010,8566,32.6
6563,4131,35.2
4911,3497,91.1
7135,9694,34.4
4687,4618,62.6
9862,8546,48.3
3861,3656,81.2
8876,9457,51.1
1498,5963,17.4
1724,1249,75.9
9809,3381,53.7
7953,5846,48.6
5295,3229,48.2
4208,3041,41.0
3525,8602,81.2
6966,8543,32.4
1451,2349,72.6
2069,1501,10.8
789,2236,47.3
9063,5206,74.1
1661,303,85.9
9584,687,14.4
3897,5336,38.4
4279,5376,70.1
3,7745,47.8
7887,2565,52.7
1309,6596,87.9
3641,4547,64.0
6434,8961,33.8
4096,2150,37.9
7976,3545,96.3
5543,1265,28.2
6621,4112,76.3
648,4049,60.0
4087,187,57.1
5494,2710,58.5
4629,5322,73.1
5175,9798,70.3
986,7640,94.0
2833,34,60.8
8144,5495,60.4
3662,635,60.3
1933,6319,91.9
1629,6293,78.7
5113,7416,14.7
9475,8834,57.0
1348,5454,75.0
9637,3028,93.2
9666,2422,59.9
7895,9027,7.7
9470,4083,13.6
5116,8674,92.2
4898,1650,27.0
2781,2629,86.2
2041,2383,24.4
521,9494,49.1
8899,3442,18.6
8031,8106,82.1
2815,5365,61.0
3893,4231,91.7
2916,9473,72.0
809,8210,69.9
7417,4890,44.3
6092,9744,32.1
6440,2503,81.2
4384,9391,15.6
4735,6321,95.3
1134,6568,81.8
364,5100,95.7
3696,3708,29.5
5563,2755,35.5
8355,4080,49.7
3913,9022,63.3
1564,9514,43.6
5393,8403,58.0
9522,9586,93.9
4290,3354,42.1
8251,9642,97.9
6911,8336,69.7
4098,239,78.1
6789,7113,33.6
9023,8832,55.7
7893,4227,87.5
1730,2946,67.5
7858,7410,9.2
1328,3676,27.7
2370,3622,29.1
2420,3943,96.0
6774,8703,64.9
2839,2234,68.9
7480,361,81.9
5602,5783,67.4
6832,7918,96.0
9322,4886,80.7
4635,6438,37.1
8871,6166,72.5
6662,7352,17.9
3350,6612,43.1
7042,5411,50.8
2864,385,67.9
8053,7457,42.7
3873,8171,72.3
6971,8437,56.3
8020,9502,36.6
5634,606,75.0
6632,9670,66.7
4811,5973,98.9
2571,5706,16.9
9458,780,92.9
1963,6949,80.1
9161,6430,32.7
5918,3587,14.9
4150,1800,12.9
1731,4475,100.0
7179,3398,16.7
7824,4822,12.8
7168,2666,24.4
8664,7,33.1
1607,3387,80.4
8811,6954,90.5
2719,6209,58.8
5917,1929,70.9
6630,1038,61.5
4731,5791,55.7
3733,3586,74.2
4205,1656,91.5
7268,535,98.5
5631,6312,19.8
8510,462,15.1
8482,5285,52.1
6101,4929,76.9
6150,4174,92.5
6704,9481,72.9
7872,9302,87.7
1137,2230,92.4
1303,3390,45.6
7923,663,31.0
5517,721,59.8
4963,5524,53.9
9983,3589,32.7
8768,1020,84.3
6252,4517,78.7
3533,9500,16.8
4970,1098,20.2
5583,991,90.0
1890,3963,41.3
514,9445,7.3
1204,4720,18.5
3460,3212,90.1
6736,8989,43.2
5554,1348,88.0
2533,7589,82.9
1196,7965,35.6
361,4571,47.2
4604,8561,83.6
8109,168,92.8
7124,1318,45.8
509,1112,84.8
8454,8169,27.5
8349,3865,55.8
5674,3110,14.9
9055,8104,59.2
220,9927,11.9
5366,4993,84.8
5516,1562,24.1
5204,8872,75.4
1522,9281,74.7
6513,623,71.2
4804,5811,63.1
6591,8702,47.8
1244,1829,91.4
2915,1169,96.6
7756,1539,66.4
5586,161,60.5
7027,9691,68.0
9259,474,78.2
9129,9047,78.6
9662,5297,24.0
3467,8578,78.0
9934,2635,53.0
6712,7131,6.3
6989,7246,84.2
4031,3153,44.7
6528,148,84.9
9400,4568,39.1
585,8288,83.5
2994,6940,57.6
7916,7492,92.3
7553,7433,68.9
6597,5686,78.4
3772,8882,43.0
4982,9384,43.8
6829,750,57.4
7597,9338,39.7
2967,5800,70.6
6414,9146,49.1
9581,681,42.8
7784,4107,41.5
5913,4174,54.4
7263,4909,56.7
2830,9113,25.8
287,8032,88.3
3421,4862,33.2
8784,3177,57.2
3956,1358,10.2
6350,1417,35.2
3098,1097,49.9
6110,5458,79.7
7728,9939,62.4
5741,6723,14.3
527,7922,26.5
1350,1497,83.5
1965,1711,67.1
8423,8260,12.4
7346,8176,39.3
450,9447,65.6
5606,5505,38.1
7305,6967,84.8
118,7365,86.8
4203,3463,17.1
9746,9119,16.2
6908,8222,83.1
7426,9820,78.8
7744,4762,42.9
7417,2499,50.9
5489,5911,23.3
4670,3799,92.1
2290,7304,96.4
601,5011,9.1
2325,6917,68.9
6154,4790,9.7
8982,2888,90.8
9592,575,98.1
6849,7357,17.1
5855,5964,45.7
9867,70,65.7
3116,9477,75.1
3543,2078,28.8
1971,5909,96.9
4676,7527,85.4
4512,4454,51.1
6288,1436,73.7
4088,3960,32.0
5547,5476,88.0
2101,5107,97.8
7682,3158,70.2
6684,8739,67.4
3661,1474,57.8
7764,1952,33.0
870,3098,59.3
2489,539,62.5
2260,4024,74.1
633,1773,90.2
2986,5933,46.6
8280,392,24.6
2423,5320,9.8
7677,1147,56.2
270,3720,88.6
6804,2574,64.5
19,3724,22.8
2693,9966,52.4
7985,5745,56.3
324,66,85.5
9681,4004,14.2
4485,5780,45.5
4133,8095,64.5
5575,1744,21.9
618,5651,87.0
3158,7650,66.0
3479,5506,52.9
8502,7815,14.7
7005,5842,94.4
2005,7061,6.0
9028,8397,98.9
6216,647,32.4
6741,3078,73.1
3647,1603,86.3
5074,7236,65.4
4615,4396,48.7
8371,1838,26.7
2017,1826,40.9
5129,8447,38.4
2622,9001,97.6
5776,2438,89.8
549,9423,91.8
4587,1532,66.7
7252,7468,69.4
6447,1464,11.0
2935,689,67.0
8260,4575,90.6
3557,8110,39.1
5936,1611,5.4
6485,8198,98.3
6890,7193,26.2
4682,494,29.7
7564,1951,30.4
8060,491,71.9
4523,9995,47.3
7874,6813,86.2
3741,133,47.7
6381,8339,13.3
1294,7521,44.8
1344,8445,63.3
2239,9986,70.2
3283,5282,61.1
7537,9820,50.5
9979,5836,31.2
3955,6635,54.6
8681,892,44.8
2279,8656,50.3
1181,33,19.4
4202,217,93.8
2761,4296,77.4
8111,7387,33.5
5510,2493,61.9
2407,6566,59.3
3898,1141,20.5
5511,3927,37.0
9030,7007,97.7
623,6779,52.7
6653,2288,20.5
5463,5334,8.8
2750,1783,6.7
6922,2631,71.9
1765,3589,57.9
5134,5298,35.4
2615,5423,35.0
4003,3077,91.2
4943,6352,15.3
4456,2408,72.3
8555,4704,87.5
4205,4707,28.9
753,4975,52.9
2578,5594,50.6
7648,8216,56.7
8810,2955,21.1
4508,4922,7.0
7778,6140,40.1
4427,3633,78.5
7359,6370,41.6
9498,3108,80.4
4977,8493,94.5
3456,5831,89.6
507,2284,45.9
8969,2636,89.3
1910,9696,95.4
2897,1528,27.5
7407,1489,19.8
3359,6049,70.9
5038,3190,23.5
2513,1137,96.0
9398,7552,91.9
8083,9561,53.1
2491,4591,23.7
2063,3644,13.5
386,5854,74.4
2416,8923,76.7
4698,7136,15.1
9921,249,48.0
4631,2058,84.2
7852,185,77.2
119,4009,35.8
8902,8496,71.3
1087,7790,45.0
6809,1090,45.6
4504,2061,91.1
4973,4368,87.4
6473,9943,14.1
2246,2866,74.6
4209,1754,28.3
9406,8442,94.3
7246,9971,39.4
7254,3706,38.6
5421,8416,24.6
6009,9022,38.2
5017,4882,88.5
7408,87,70.7
1768,6234,56.5
3744,1750,95.2
1942,6570,99.7
3769,9366,55.2
7011,6951,60.9
2346,210,35.7
5630,1346,17.6
8008,9013,16.7
2900,5315,95.2
8109,4051,9.6
9854,6494,17.9
5641,9122,87.2
6837,1936,13.1
104,9200,7.9
8491,5667,92.5
8341,7109,36.7
2043,8869,55.1
967,9602,9.1
1054,1921,46.5
4840,8090,64.3
3628,8980,93.5
9873,7933,84.5
291,2791,38.2
6335,9257,78.0
8009,2297,68.4
8643,5,48.4
9932,8297,87.4
5201,8982,69.2
8035,2959,37.0
7314,8544,12.3
4585,8192,62.5
2203,4095,93.9
4886,9924,54.0
1996,6202,7.4
8496,129,75.5
878,9322,90.8
4937,8307,74.4
4089,6193,29.2
7678,8355,61.9
8336,5612,11.2
1469,4273,32.7
1577,8096,44.7
8747,8347,75.7
6160,9532,94.9
308,8527,84.2
6438,86,22.6
2216,4813,95.4
3915,5403,96.3
1363,5989,84.8
2324,9590,20.2
603,5901,49.5
5987,9462,12.3
5420,1955,11.6
9929,8752,56.2
9530,9406,75.3
9028,7543,32.6
3266,5684,44.3
2279,1151,51.7
8785,7150,71.9
1281,3181,31.4
3047,5812,22.0
5717,7264,10.2
7547,5368,35.7
6218,1746,14.9
3479,339,23.8
1058,167,39.4
6793,8689,57.3
4017,8815,62.2
5574,9147,99.9
3427,431,33.5
179,3234,31.4
7209,6289,58.8
8038,1443,37.3
7382,7514,60.5
9906,5633,22.8
5617,9506,68.7
7262,5973,80.2
9473,1412,43.8
4948,3303,23.5
6389,7696,57.8
9507,1568,42.0
726,9145,44.2
1254,6497,31.5
8620,8254,40.8
7403,199,64.4
1963,1024,58.7
9621,6504,41.7
1599,4126,68.5
7535,8901,72.6
5956,8675,81.6
3757,5213,65.7
6488,4552,8.7
6115,4001,79.4
5478,7977,32.6
8272,6165,64.9
7923,2453,69.1
3578,2674,75.4
5341,1530,8.3
1321,496,95.0
2980,3040,69.6
2219,5378,50.3
6094,976,51.1
4966,3174,68.0
2951,9672,43.8
4944,517,26.6
7350,2918,20.5
2096,6000,63.7
5851,9907,87.9
6753,4350,59.8
3133,913,70.5
1590,5916,11.2
7569,1554,27.4
229,2848,36.2
4675,4534,48.7
2830,4680,20.2
6503,6525,29.7
1649,8076,94.2
1524,7483,99.3
4235,906,29.6
8511,6620,8.8
8258,8001,27.3
1624,5189,21.7
9619,5839,56.9
9570,4800,82.4
4897,9576,38.1
7105,6252,72.4
5221,7647,38.7
2491,3881,69.0
7899,6485,39.8
2689,2906,47.7
881,8944,36.2
4907,5240,35.0
7453,9039,69.3
5701,3843,36.6
6137,6027,92.7
7810,1972,13.9
5471,8715,19.5
7207,6909,43.7
9979,389,27.7
1634,4236,11.9
4361,4018,69.6
8025,4626,76.9
5450,4274,35.4
6127,6285,45.0
8197,6653,94.2
7492,5914,76.8
2180,8626,75.9
4389,4717,52.1
6637,1044,92.5
943,3778,49.3
3293,2408,84.7
5142,2860,52.4
8598,3706,14.7
1845,7558,14.9
5853,4077,13.2
4248,3525,88.2
9649,8441,42.5
7514,8426,32.6
6686,9892,36.6
3512,2982,94.7
5257,4712,33.6
1139,4080,55.2
7180,6255,48.8
2110,6562,9.1
2907,5378,21.7
624,4416,12.4
4913,3990,29.1
9918,4547,45.1
3743,5200,30.4
3344,4358,84.5
4768,759,35.4
6605,5494,49.8
5070,8885,7.3
2842,1431,40.0
4562,1204,21.5
636,4903,5.5
3775,2102,38.5
1627,7021,28.9
4783,5437,63.3
601,6320,39.5
2660,2572,63.7
2431,1320,88.1
1908,5749,40.2
5933,5025,16.7
8187,1655,40.5
5255,8871,69.3
6232,3730,87.4
7240,7508,11.7
8276,1221,72.9
7739,5341,49.3
1431,8551,13.0
2960,5333,53.9
6865,3962,15.8
9623,1506,97.1
904,9196,58.2
1998,6616,46.4
3980,880,21.3
3556,5739,10.2
5032,5843,35.2
2316,916,64.4
8221,7517,51.0
4235,1110,98.8
1713,4045,36.6
3253,9015,26.6
7436,4786,57.9
967,9245,78.7
3871,748,13.5
954,606,17.1
6762,7496,11.9
9461,4879,94.5
2220,307,60.4
6311,4476,70.7
5040,3512,67.3
1433,7055,72.2
4923,9359,74.2
4470,5850,60.8
6018,6960,59.7
3865,197,25.7
4672,9523,55.7
1669,7758,97.9
7379,4089,38.5
6104,2866,25.6
6810,9212,68.6
6345,6912,88.2
7346,8999,31.5
3583,7802,61.6
9070,1008,97.6
5051,2512,28.1
2721,3163,28.4
79,9281,65.6
246,1666,82.9
1272,3080,25.0
4876,9523,54.1
3620,7735,19.5
5694,8951,78.8
6125,497,71.2
7951,6455,41.5
3354,9145,14.0
9473,4090,36.8
6893,4998,96.9
9870,5079,49.7
8733,3749,5.5
6748,2508,12.3
8445,4648,21.3
9471,4750,32.3
8339,7028,8.5
9431,8471,7.1
7265,2740,56.8
5613,3029,87.4
3356,978,15.5
5584,8498,32.9
268,6824,38.7
7770,4152,88.9
7848,3263,23.3
5856,9240,91.9
8800,8840,76.4
138,163,12.8
4123,1277,93.0
3788,5252,68.7
5106,1227,21.1
2322,4938,63.6
7893,53,62.3
7131,5077,29.5
2441,1004,87.7
5206,5769,45.8
5112,8447,62.0
524,5614,63.4
966,9526,85.3
76,5133,94.4
3997,2839,33.4
9924,8283,15.6
8744,1700,19.3
5650,9020,96.6
9293,899,68.4
3257,6764,57.6
2059,9768,42.8
1491,2763,63.7
6861,8477,10.7
8477,3873,61.5
6510,6770,62.3
4614,8376,73.0
5548,8571,48.8
5754,6809,19.8
9226,4733,89.0
4666,4909,19.3
2069,9227,45.8
7094,5190,21.8
2018,1123,84.5
6800,2164,90.6
1504,8833,52.7
5855,1630,71.1
8298,8355,86.1
6181,3758,18.3
4347,3946,31.4
6967,4860,91.2
8647,6415,16.8
6914,1707,58.8
1498,5278,39.7
1468,1314,97.3
9686,4368,12.7
3556,8398,16.7
74,2777,96.6
9458,6929,49.5
6343,8653,93.6
1573,6310,95.2
5167,7393,45.2
1133,7460,7.2
912,5680,24.4
7803,827,96.8
2481,9608,14.1
7084,1793,10.3
1205,3087,59.8
2557,3096,18.8
7227,8243,28.3
2265,1964,92.2
4400,2497,91.7
7576,7382,24.5
4018,7,59.8
8989,5146,86.9
6414,902,10.1
8955,1390,24.4
9424,8642,89.8
1530,7916,18.1
5247,3806,51.1
7368,8832,86.3
4416,8937,71.0
4986,5227,73.1
8572,9786,20.2
3054,2197,10.2
2343,6958,99.5
8100,4523,70.9
6709,1531,88.0
7605,9241,33.6
54,6492,92.0
2298,3359,90.8
6278,1480,43.8
8088,8250,43.7
4268,6594,61.4
1547,7334,95.4
5030,1939,36.7
1541,511,70.8
881,206,76.0
8069,8295,40.9
1618,65,35.0
4426,5110,61.9
6631,2811,56.4
295,1541,64.5
6725,5827,92.8
9537,4818,84.4
5456,6934,65.3
8018,9108,46.9
282,9411,13.9
4211,12,73.3
1705,3462,59.5
6787,4679,84.6
7017,2711,51.0
1430,4843,56.9
7849,30,23.2
9165,9614,20.8
7377,7148,83.1
9481,4216,58.3
9229,320,13.8
3390,1866,99.0
6209,1079,63.4
8157,282,25.6
6441,8643,67.0
1555,623,59.6
8710,2859,48.5
9627,5596,71.6
1691,714,88.8
5467,3244,83.6
4669,2869,19.8
9435,8044,25.5
8924,2304,33.4
7158,376,77.2
1357,2043,54.9
1676,6826,47.3
3071,2363,59.8
9328,6302,28.4
9101,9486,26.3
5999,84,27.4
5330,8454,14.4
1340,1772,73.9
6304,6913,81.3
8191,6537,95.7
2822,3821,37.4
3237,7396,84.5
4811,2739,74.3
3861,1269,70.8
1308,4614,17.7
8637,6313,12.2
1206,9723,66.6
6383,4242,22.7
3632,3674,94.9
3592,7167,53.0
6869,855,41.2
4141,4289,60.7
1073,463,94.6
5998,515,73.5
4567,2052,29.3
8024,1444,72.8
1603,9168,47.4
4422,9376,95.8
2122,9022,66.2
3536,8576,10.4
226,9625,83.2
5889,9267,38.4
8877,3591,99.2
6624,1152,40.4
123,4713,98.4
546,8883,21.3
71,1193,88.0
4702,375,5.8
5918,9483,77.1
7683,1115,46.6
2471,6248,34.6
2736,342,29.5
9383,5684,78.8
4450,4583,15.4
5030,4486,7.4
7273,7922,52.8
3776,9852,87.5
8511,3345,30.2
3136,4359,96.8
9083,7874,9.6
430,1831,69.5
598,1874,41.4
6793,6805,98.9
9458,2545,83.1
7294,2564,32.3
9868,797,51.8
3651,3097,46.8
1376,2145,52.1
2121,2151,50.6
8549,3327,77.8
6864,9962,69.7
8415,1521,13.6
6673,5146,89.2
5048,9350,12.2
3858,4559,22.5
5555,3986,86.8
5795,2499,64.6
2840,5129,97.4
2544,1275,27.0
93,1128,9.2
3719,9297,54.9
1382,7100,76.7
820,9347,30.5
3150,856,11.7
5123,5124,82.0
9783,4945,16.9
8296,601,96.5
5063,9065,49.7
3529,8546,63.0
1151,8564,31.3
8338,4773,65.7
6410,8819,51.8
7940,1929,46.2
6948,5803,15.8
1812,6297,80.0
9783,9743,74.4
6456,4555,86.7
421,7709,36.5
9845,5956,58.1
138,6758,59.3
7778,3288,72.5
3380,1843,37.9
861,5380,80.0
388,3798,48.4
1113,5949,36.5
3033,2279,74.1
7821,7242,96.1
4884,93,25.4
2968,9837,44.4
6572,1024,25.3
9801,6189,46.8
5812,8354,70.9
7045,9576,25.1
7971,6545,52.8
5731,8564,61.8
3539,4854,8.5
4003,6116,55.6
2822,8150,41.7
1574,8420,71.0
698,7317,7.8
6886,7869,25.1
2639,5372,47.4
4314,434,62.1
6588,5312,49.1
2565,7489,22.1
1540,9831,48.6
9903,4784,12.1
2097,1762,57.3
8175,9691,53.9
3695,7066,35.9
216,6825,32.3
2581,9379,19.0
4261,2838,28.8
9625,9179,85.4
6562,449,7.9
7233,5963,95.9
8291,8605,51.9
2494,9890,43.9
1799,1307,25.6
5590,5444,31.2
539,6371,31.1
2578,3727,11.2
3213,70,23.4
1827,8479,27.5
4612,7057,95.4
7864,6633,68.1
658,2571,48.9
3982,3504,5.9
7235,9780,94.5
1903,9814,76.7
9910,6542,6.8
6343,1740,83.4
1735,5181,60.2
8431,7621,79.3
2194,4389,87.1
8758,8190,58.7
7402,8486,28.3
4033,502,26.1
380,3357,36.3
4183,9123,59.3
548,713,83.0
1474,9269,31.5
9599,2699,60.7
7218,7817,61.4
2548,7484,6.4
7724,3710,27.7
6720,9112,62.4
4916,8996,19.2
9336,4433,96.6
6984,5141,15.7
7722,5481,54.5
7655,4452,83.7
3,8438,86.8
4676,2859,82.2
4150,1548,35.8
7421,3004,65.3
9050,8001,67.0
4875,2601,28.9
4852,2782,44.7
103,2275,17.9
7764,5007,90.1
6483,9054,21.9
703,4972,55.3
9713,3555,6.0
6638,875,41.6
9625,9126,47.8
5208,8555,14.7
2406,2844,81.2
7874,7101,53.5
9975,4342,43.1
9085,4899,71.7
3929,8993,46.0
9853,3011,70.2
3640,4902,55.1
6573,1793,51.1
5648,8930,42.8
7107,9713,52.7
1695,8353,60.1
9294,8779,95.1
5535,1049,77.0
6463,9460,85.2
4340,8311,67.5
2727,7679,84.5
3737,4671,28.5
4617,9151,68.5
4068,2554,55.9
3756,9061,43.7
9300,9373,48.2
5883,6329,89.5
6,7815,69.4
5331,5113,44.6
8071,755,85.3
495,7025,67.6
177,9316,67.2
2158,1652,76.2
2115,4535,28.2
3949,7379,86.4
8900,5944,74.0
4260,5334,51.1
2689,6937,10.6
6549,7781,75.3
9381,8512,65.7
4684,4712,47.4
5798,6493,16.9
760,6341,51.5
1199,781,57.8
5866,270,17.9
31,2750,16.6
5940,1543,32.0
2544,7217,93.2
4369,1068,52.8
4730,2870,86.7
2855,2268,19.7
5978,6426,6.5
3763,9939,89.5
4156,9141,26.5
1565,830,37.6
7928,7965,13.7
4493,1683,93.6
8636,9671,31.0
7120,6042,34.9
2779,3891,5.2
872,9679,91.9
2561,7817,87.6
5756,9651,19.4
2349,9480,61.5
9161,5069,32.6
9420,8022,23.7
9624,7883,18.2
417,9379,18.4
8929,9692,11.8
1109,5594,77.0
8297,1586,92.1
6927,7960,9.5
6681,2074,57.6
1506,9177,91.7
5648,9705,66.9
8343,6555,95.3
9278,2137,96.6
9306,6136,11.9
2796,3426,54.9
5600,3006,39.0
2293,2282,75.5
4930,8984,92.6
67,8646,72.8
7636,6069,16.1
6050,8026,98.0
9936,7205,90.3
2952,5734,50.1
2509,5124,5.2
4506,1588,46.2
8245,4505,81.3
5187,9904,58.8
1750,1831,40.9
2672,9927,30.7
95,2504,87.1
